username,mentioned,date,id
versao_black,tvcultura,Sat Feb 05 23:56:22 +0000 2022,1490112093814771717
muitoflow,congressoemfoco,Sat Feb 05 23:55:25 +0000 2022,1490111854647123972
Bot_Corona_V,RickyYatsunaga,Sat Feb 05 23:55:19 +0000 2022,1490111830051725313
MundoEmanuel4,supersamuellima,Sat Feb 05 23:49:17 +0000 2022,1490110308526010369
MarcosMilagre,flaviofachel,Sat Feb 05 23:48:57 +0000 2022,1490110226573500416
Paulobatatando,magdasueli2,Sat Feb 05 23:48:53 +0000 2022,1490110209049698304
letrasmari,contagemcorona1,Sat Feb 05 23:48:44 +0000 2022,1490110171909087243
widmer_michel,VictorCostaLuta,Sat Feb 05 23:48:02 +0000 2022,1490109993915502595
drdantediaz,jornalistavitor,Sat Feb 05 23:46:57 +0000 2022,1490109722023927809
Rodrigo28520007,SSalud_mx,Sat Feb 05 23:45:33 +0000 2022,1490109369895297024
viralvideovlogs,jornalistavitor,Sat Feb 05 23:44:25 +0000 2022,1490109083680133120
xandinhamc,jornalistavitor,Sat Feb 05 23:44:23 +0000 2022,1490109078932271104
OhDearMarkF,Arthurvneto,Sat Feb 05 23:43:49 +0000 2022,1490108934551744521
OhDearMarkF,jdoriajr,Sat Feb 05 23:43:49 +0000 2022,1490108934551744521
viralvideovlogs,EduardoSuccini,Sat Feb 05 23:43:25 +0000 2022,1490108831862603777
CamisaNoControl,brasil_io,Sat Feb 05 23:43:05 +0000 2022,1490108748001681417
CamisaNoControl,brasil_io,Sat Feb 05 23:43:05 +0000 2022,1490108748001681417
acg747,qquell,Sat Feb 05 23:42:28 +0000 2022,1490108592724353027
PalomaPiragibe,flaviofachel,Sat Feb 05 23:42:10 +0000 2022,1490108520628424718
Bot_Corona_V,qquell,Sat Feb 05 23:41:19 +0000 2022,1490108303258566660
JACKPRAIA,projmandacaru,Sat Feb 05 23:40:03 +0000 2022,1490107986660012032
victorhguima,Arthurvneto,Sat Feb 05 23:39:39 +0000 2022,1490107886164455425
victorhguima,jdoriajr,Sat Feb 05 23:39:39 +0000 2022,1490107886164455425
pacorrocanijo,SSalud_mx,Sat Feb 05 23:38:57 +0000 2022,1490107709500411910
Gabriel67880419,brasil_io,Sat Feb 05 23:37:15 +0000 2022,1490107283761774593
Gabriel67880419,brasil_io,Sat Feb 05 23:37:15 +0000 2022,1490107283761774593
Augusto74634111,contagemcorona1,Sat Feb 05 23:35:18 +0000 2022,1490106789014433792
afandrioli1964,Arthurvneto,Sat Feb 05 23:34:49 +0000 2022,1490106671514935296
afandrioli1964,jdoriajr,Sat Feb 05 23:34:49 +0000 2022,1490106671514935296
Rangel_Lucia,contagemcorona1,Sat Feb 05 23:34:47 +0000 2022,1490106662484688900
LuizdePaula100,contagemcorona1,Sat Feb 05 23:34:26 +0000 2022,1490106571069829128
JulioPezR,SSalud_mx,Sat Feb 05 23:34:11 +0000 2022,1490106511233888259
gidiane_nunes,SaudeGovRS,Sat Feb 05 23:32:02 +0000 2022,1490105970487439362
SandyPandy_Oh_,SSalud_mx,Sat Feb 05 23:31:55 +0000 2022,1490105939940229121
ALavandula,brasil_io,Sat Feb 05 23:30:42 +0000 2022,1490105631789010945
ALavandula,brasil_io,Sat Feb 05 23:30:42 +0000 2022,1490105631789010945
Emanotel,contagemcorona1,Sat Feb 05 23:30:35 +0000 2022,1490105603661905926
brasil_io,brasil_io,Sat Feb 05 23:29:33 +0000 2022,1490105345594871809
fiverivers86,Arthurvneto,Sat Feb 05 23:29:29 +0000 2022,1490105326137483266
fiverivers86,jdoriajr,Sat Feb 05 23:29:29 +0000 2022,1490105326137483266
pabloangel_19,SSalud_mx,Sat Feb 05 23:28:11 +0000 2022,1490104998612635653
