username,mentioned,date,id
JulioEduardo26,AfpChecamos,Sun Feb 06 23:59:19 +0000 2022,1490475223120072706
JulioEduardo26,CDCgov,Sun Feb 06 23:59:19 +0000 2022,1490475223120072706
EuMelky,AfpChecamos,Sun Feb 06 23:56:35 +0000 2022,1490474535577178115
EuMelky,CDCgov,Sun Feb 06 23:56:35 +0000 2022,1490474535577178115
EdoardoMath,SSalud_mx,Sun Feb 06 23:56:03 +0000 2022,1490474402533752842
eli_jmor,SSalud_mx,Sun Feb 06 23:55:37 +0000 2022,1490474291846164480
Tati902224,contagemcorona1,Sun Feb 06 23:54:20 +0000 2022,1490473969438367745
rafa_kenji,ONUBrasil,Sun Feb 06 23:53:50 +0000 2022,1490473843483365381
MdgAbe,SSalud_mx,Sun Feb 06 23:53:08 +0000 2022,1490473668346064897
elisfilho1411,contagemcorona1,Sun Feb 06 23:52:52 +0000 2022,1490473599194574848
AdsumP,AfpChecamos,Sun Feb 06 23:52:46 +0000 2022,1490473574825709570
by_Faby,contagemcorona1,Sun Feb 06 23:52:20 +0000 2022,1490473466814148608
AdsumP,AfpChecamos,Sun Feb 06 23:52:15 +0000 2022,1490473444944891913
AdsumP,CDCgov,Sun Feb 06 23:52:15 +0000 2022,1490473444944891913
AdsumP,AfpChecamos,Sun Feb 06 23:51:55 +0000 2022,1490473358932254720
AdsumP,CDCgov,Sun Feb 06 23:51:55 +0000 2022,1490473358932254720
Marce8Rodriguez,SSalud_mx,Sun Feb 06 23:50:30 +0000 2022,1490473002248589319
TatiAnaSG1,contagemcorona1,Sun Feb 06 23:48:48 +0000 2022,1490472574538629120
SandyPandy_Oh_,SSalud_mx,Sun Feb 06 23:48:27 +0000 2022,1490472487582322688
GuedesGrasielle,SaudeGovRJ,Sun Feb 06 23:48:08 +0000 2022,1490472407462821888
dimerstt,contagemcorona1,Sun Feb 06 23:47:56 +0000 2022,1490472359677022212
ThiagoC93001399,contagemcorona1,Sun Feb 06 23:47:14 +0000 2022,1490472180538388485
viralvideovlogs,COVID19BrUpdate,Sun Feb 06 23:46:34 +0000 2022,1490472014376849413
MarceloUchoa9,AfpChecamos,Sun Feb 06 23:46:00 +0000 2022,1490471870822502401
MarceloUchoa9,CDCgov,Sun Feb 06 23:46:00 +0000 2022,1490471870822502401
LuizdePaula100,contagemcorona1,Sun Feb 06 23:43:04 +0000 2022,1490471133862371337
viralvideovlogs,RosaizumiRosa,Sun Feb 06 23:40:41 +0000 2022,1490470532344655878
ALavandula,brasil_io,Sun Feb 06 23:39:52 +0000 2022,1490470328841158663
ALavandula,brasil_io,Sun Feb 06 23:39:52 +0000 2022,1490470328841158663
Jeffwin72095858,ady_news,Sun Feb 06 23:39:50 +0000 2022,1490470321257861122
rafadonadone,contagemcorona1,Sun Feb 06 23:39:14 +0000 2022,1490470168711110658
Leonardo_tsouza,contagemcorona1,Sun Feb 06 23:39:03 +0000 2022,1490470122158530569
ikrishy,SSalud_mx,Sun Feb 06 23:35:45 +0000 2022,1490469291120119813
JulioPezR,SSalud_mx,Sun Feb 06 23:35:16 +0000 2022,1490469169355132928
rafadonadone,contagemcorona1,Sun Feb 06 23:34:29 +0000 2022,1490468972680122375
natilopes98,SaudeGovRJ,Sun Feb 06 23:33:23 +0000 2022,1490468696317476866
NildaMelito,Arthurvneto,Sun Feb 06 23:33:18 +0000 2022,1490468675333369858
NildaMelito,jdoriajr,Sun Feb 06 23:33:18 +0000 2022,1490468675333369858
ManilkaraZ,SSalud_mx,Sun Feb 06 23:32:02 +0000 2022,1490468355249217542
marcellasrb,contagemcorona1,Sun Feb 06 23:28:49 +0000 2022,1490467547799605252
DGEMexico,SSalud_mx,Sun Feb 06 23:25:21 +0000 2022,1490466676864958464
viralvideovlogs,minsaude,Sun Feb 06 23:24:40 +0000 2022,1490466501882781696
Saulinha1,minsaude,Sun Feb 06 23:24:36 +0000 2022,1490466488154742787
VICTORJ29783730,SSalud_mx,Sun Feb 06 23:24:06 +0000 2022,1490466358739546113
Issa_jp_angel,minsaude,Sun Feb 06 23:23:38 +0000 2022,1490466242045505537
brasil_io,brasil_io,Sun Feb 06 23:22:11 +0000 2022,1490465878848253958
eduardochino94,SSalud_mx,Sun Feb 06 23:21:12 +0000 2022,1490465629735948293
terrivelovelha,AfpChecamos,Sun Feb 06 23:20:50 +0000 2022,1490465538509787137
terrivelovelha,CDCgov,Sun Feb 06 23:20:50 +0000 2022,1490465538509787137
Andersonp1980,contagemcorona1,Sun Feb 06 23:20:49 +0000 2022,1490465532474232833
Andersonp1980,contagemcorona1,Sun Feb 06 23:20:04 +0000 2022,1490465346985381888
Noem48,SSalud_mx,Sun Feb 06 23:19:53 +0000 2022,1490465298276929546
viralvideovlogs,AfpChecamos,Sun Feb 06 23:18:32 +0000 2022,1490464960492806145
viralvideovlogs,CDCgov,Sun Feb 06 23:18:32 +0000 2022,1490464960492806145
bcrment,AfpChecamos,Sun Feb 06 23:18:31 +0000 2022,1490464953555431429
bcrment,CDCgov,Sun Feb 06 23:18:31 +0000 2022,1490464953555431429
Bot_Corona_V,BrazilSFE,Sun Feb 06 23:15:53 +0000 2022,1490464291073544193
Bot_Corona_V,Wyeth,Sun Feb 06 23:15:53 +0000 2022,1490464291073544193
Bot_Corona_V,Zoetis,Sun Feb 06 23:15:53 +0000 2022,1490464291073544193
Bot_Corona_V,merial,Sun Feb 06 23:15:53 +0000 2022,1490464291073544193
CONAMED_SALUD,SSalud_mx,Sun Feb 06 23:15:21 +0000 2022,1490464156725751809
alpharetta47,SSalud_mx,Sun Feb 06 23:15:19 +0000 2022,1490464149196976128
BrazilSFE,Wyeth,Sun Feb 06 23:15:09 +0000 2022,1490464108088602638
