username,mentioned,date,id
nicolaskasprzak,contagemcorona1,Tue Feb 08 23:59:45 +0000 2022,1491200108389888002
Racheldomi,contagemcorona1,Tue Feb 08 23:59:10 +0000 2022,1491199961643753478
Bot_Corona_V,BrazilSFE,Tue Feb 08 23:58:57 +0000 2022,1491199905125355522
Bot_Corona_V,merial,Tue Feb 08 23:58:57 +0000 2022,1491199905125355522
Bot_Corona_V,kineta,Tue Feb 08 23:58:57 +0000 2022,1491199905125355522
BrazilSFE,merial,Tue Feb 08 23:58:07 +0000 2022,1491199696668344323
BrazilSFE,kineta,Tue Feb 08 23:58:07 +0000 2022,1491199696668344323
Intermexe,contagemcorona1,Tue Feb 08 23:57:43 +0000 2022,1491199596105977856
viralvideovlogs,contagemcorona1,Tue Feb 08 23:57:28 +0000 2022,1491199532318797824
renato_ssouza,contagemcorona1,Tue Feb 08 23:57:27 +0000 2022,1491199528468647939
aecio141,contagemcorona1,Tue Feb 08 23:56:33 +0000 2022,1491199302022365186
giancarlozero,contagemcorona1,Tue Feb 08 23:56:19 +0000 2022,1491199242471366663
rodrigay_,maricelsojunior,Tue Feb 08 23:56:07 +0000 2022,1491199194643644417
GenivalDamasce1,mqueiroga2,Tue Feb 08 23:55:10 +0000 2022,1491198953232429056
Phantom_Finance,BielAlmodovar,Tue Feb 08 23:54:37 +0000 2022,1491198816363905025
2015Fmbs,mqueiroga2,Tue Feb 08 23:54:06 +0000 2022,1491198684734062592
bluiz2010,AiltonBenedito,Tue Feb 08 23:52:17 +0000 2022,1491198230448975872
Guttto,contagemcorona1,Tue Feb 08 23:49:47 +0000 2022,1491197597666918400
JuarezBorges62,mqueiroga2,Tue Feb 08 23:49:28 +0000 2022,1491197520046821377
marildamsantos,mqueiroga2,Tue Feb 08 23:46:26 +0000 2022,1491196758265057280
Antonio208020,mqueiroga2,Tue Feb 08 23:45:41 +0000 2022,1491196568405704706
MSinarinha,contagemcorona1,Tue Feb 08 23:44:39 +0000 2022,1491196307981336577
WellynaS_,contagemcorona1,Tue Feb 08 23:44:15 +0000 2022,1491196206852100100
FeSa972,contagemcorona1,Tue Feb 08 23:40:37 +0000 2022,1491195292619788288
FeSa972,contagemcorona1,Tue Feb 08 23:40:28 +0000 2022,1491195253956747266
FeSa972,contagemcorona1,Tue Feb 08 23:40:00 +0000 2022,1491195137078222850
Bot_Corona_V,Ogabrielgg,Tue Feb 08 23:39:56 +0000 2022,1491195119583862789
FeSa972,contagemcorona1,Tue Feb 08 23:39:43 +0000 2022,1491195067775782914
FeSa972,contagemcorona1,Tue Feb 08 23:38:11 +0000 2022,1491194680347930628
Andre_leao1906,elishbajoachim,Tue Feb 08 23:37:27 +0000 2022,1491194496146866178
FeSa972,contagemcorona1,Tue Feb 08 23:36:38 +0000 2022,1491194290562867205
tonyreis_tr1,mqueiroga2,Tue Feb 08 23:36:34 +0000 2022,1491194275241283584
pedro_orlandini,contagemcorona1,Tue Feb 08 23:35:11 +0000 2022,1491193924480020480
FeSa972,contagemcorona1,Tue Feb 08 23:34:41 +0000 2022,1491193800785633283
turicas,brasil_io,Tue Feb 08 23:34:40 +0000 2022,1491193793613549568
turicas,brasil_io,Tue Feb 08 23:34:40 +0000 2022,1491193793613549568
CunhaJay,mqueiroga2,Tue Feb 08 23:34:26 +0000 2022,1491193737690873858
FeSa972,contagemcorona1,Tue Feb 08 23:34:05 +0000 2022,1491193648620449796
DanielFLieff,mqueiroga2,Tue Feb 08 23:33:29 +0000 2022,1491193498682343425
Maria_Irritada,contagemcorona1,Tue Feb 08 23:33:29 +0000 2022,1491193496270929920
EstanilauBretas,istoe_dinheiro,Tue Feb 08 23:32:42 +0000 2022,1491193301021511680
FeSa972,contagemcorona1,Tue Feb 08 23:31:46 +0000 2022,1491193065767378949
LianeBorn,contagemcorona1,Tue Feb 08 23:31:43 +0000 2022,1491193051767017474
FeSa972,contagemcorona1,Tue Feb 08 23:31:29 +0000 2022,1491192995303018501
MarceloTimote12,mqueiroga2,Tue Feb 08 23:31:10 +0000 2022,1491192914781048835
FeSa972,contagemcorona1,Tue Feb 08 23:31:04 +0000 2022,1491192887316553729
FeSa972,contagemcorona1,Tue Feb 08 23:29:55 +0000 2022,1491192598572249092
FeSa972,contagemcorona1,Tue Feb 08 23:29:52 +0000 2022,1491192587159543816
FeSa972,contagemcorona1,Tue Feb 08 23:29:40 +0000 2022,1491192536332963843
persone_09,contagemcorona1,Tue Feb 08 23:29:38 +0000 2022,1491192526820511745
FeSa972,contagemcorona1,Tue Feb 08 23:29:29 +0000 2022,1491192492393443329
gaudium73,latinus_us,Tue Feb 08 23:29:06 +0000 2022,1491192394133676034
juliangf74,latinus_us,Tue Feb 08 23:28:13 +0000 2022,1491192170036236289
ceellla,contagemcorona1,Tue Feb 08 23:26:31 +0000 2022,1491191745480392704
Luzem1,proindio,Tue Feb 08 23:25:42 +0000 2022,1491191540785377281
MSinarinha,contagemcorona1,Tue Feb 08 23:24:59 +0000 2022,1491191357998002176
Veniltonleal2,governodoamapa,Tue Feb 08 23:24:56 +0000 2022,1491191345469214722
SrtaLee123,mqueiroga2,Tue Feb 08 23:24:18 +0000 2022,1491191186605756416
brasil_io,brasil_io,Tue Feb 08 23:24:18 +0000 2022,1491191184546746369
MannyMtzA,latinus_us,Tue Feb 08 23:23:48 +0000 2022,1491191061330685953
corona_tweet,latinus_us,Tue Feb 08 23:23:45 +0000 2022,1491191047803834376
carsafa521,latinus_us,Tue Feb 08 23:23:30 +0000 2022,1491190984595873792
jorgemcorderom,latinus_us,Tue Feb 08 23:23:29 +0000 2022,1491190978983641092
Ceclio16,mqueiroga2,Tue Feb 08 23:23:09 +0000 2022,1491190899069575168
JaciraMonta,contagemcorona1,Tue Feb 08 23:22:56 +0000 2022,1491190842484494339
Cami45pp,latinus_us,Tue Feb 08 23:22:20 +0000 2022,1491190690231238656
mariocampos,latinus_us,Tue Feb 08 23:21:59 +0000 2022,1491190602494799874
suzana_barberio,SigaGazetaBR,Tue Feb 08 23:21:48 +0000 2022,1491190558538473472
Bot_Corona_V,latinus_us,Tue Feb 08 23:20:55 +0000 2022,1491190333249441792
GhiBordin,istoe_dinheiro,Tue Feb 08 23:20:00 +0000 2022,1491190103431335936
MarioCalvano1,contagemcorona1,Tue Feb 08 23:19:34 +0000 2022,1491189997180895234
MarioCalvano1,contagemcorona1,Tue Feb 08 23:18:54 +0000 2022,1491189826615332869
FilhoRq,AiltonBenedito,Tue Feb 08 23:17:25 +0000 2022,1491189454408937473
ramos_destro,mqueiroga2,Tue Feb 08 23:16:22 +0000 2022,1491189189135958022
Bot_Corona_V,BrazilSFE,Tue Feb 08 23:15:54 +0000 2022,1491189073775628293
Bot_Corona_V,Wyeth,Tue Feb 08 23:15:54 +0000 2022,1491189073775628293
Bot_Corona_V,Zoetis,Tue Feb 08 23:15:54 +0000 2022,1491189073775628293
Bot_Corona_V,merial,Tue Feb 08 23:15:54 +0000 2022,1491189073775628293
Manoel21527662,mqueiroga2,Tue Feb 08 23:15:43 +0000 2022,1491189026803830785
BrazilSFE,Wyeth,Tue Feb 08 23:15:10 +0000 2022,1491188887003320329
BrazilSFE,Zoetis,Tue Feb 08 23:15:10 +0000 2022,1491188887003320329
SystemTitanium,AiltonBenedito,Tue Feb 08 23:08:23 +0000 2022,1491187181935038465
CleideA44305992,mqueiroga2,Tue Feb 08 23:07:28 +0000 2022,1491186952221392896
covidestanoar,vanssilveira,Tue Feb 08 23:06:53 +0000 2022,1491186803512340481
profetadorancor,contagemcorona1,Tue Feb 08 23:06:49 +0000 2022,1491186784935747584
ElcyPereira9,mqueiroga2,Tue Feb 08 23:05:05 +0000 2022,1491186349910593536
JC_Barajas,Luis_C_Sandoval,Tue Feb 08 23:04:15 +0000 2022,1491186141173026816
CandiaCrf,contagemcorona1,Tue Feb 08 23:03:47 +0000 2022,1491186022037987329
viralvideovlogs,projmandacaru,Tue Feb 08 23:03:04 +0000 2022,1491185842404134914
beattrice_,projmandacaru,Tue Feb 08 23:03:02 +0000 2022,1491185833873133569
sergioyendo,MSF_brasil,Tue Feb 08 23:02:36 +0000 2022,1491185723663609856
divinaisis,AiltonBenedito,Tue Feb 08 23:01:57 +0000 2022,1491185561801224192
DanielRanieri3,AiltonBenedito,Tue Feb 08 23:00:29 +0000 2022,1491185192782143488
fabriciohorta,contagemcorona1,Tue Feb 08 22:59:40 +0000 2022,1491184986745352194
Bot_Corona_V,BrazilSFE,Tue Feb 08 22:58:53 +0000 2022,1491184791483555841
Bot_Corona_V,merial,Tue Feb 08 22:58:53 +0000 2022,1491184791483555841
Bot_Corona_V,kineta,Tue Feb 08 22:58:53 +0000 2022,1491184791483555841
DorocheMauro,mqueiroga2,Tue Feb 08 22:58:18 +0000 2022,1491184641734483968
BrazilSFE,merial,Tue Feb 08 22:58:07 +0000 2022,1491184598423904256
BrazilSFE,kineta,Tue Feb 08 22:58:07 +0000 2022,1491184598423904256
BerniniCida,sinprodf,Tue Feb 08 22:57:43 +0000 2022,1491184498524168194
BerniniCida,Gov_DF,Tue Feb 08 22:57:43 +0000 2022,1491184498524168194
