username,mentioned,date,id
corpo_delama,contagemcorona1,Thu Feb 10 23:10:39 +0000 2022,1491912528896606208
anti_bozopt,contagemcorona1,Thu Feb 10 23:07:02 +0000 2022,1491911617415684099
bibliotecaippur,PesquisaFapesp,Thu Feb 10 23:05:57 +0000 2022,1491911345754849284
Bot_Corona_V,VANDERL34697709,Thu Feb 10 23:02:40 +0000 2022,1491910519393034242
Bot_Corona_V,rodolfomera3,Thu Feb 10 23:02:40 +0000 2022,1491910519393034242
Bot_Corona_V,luisnassif,Thu Feb 10 23:02:40 +0000 2022,1491910519393034242
VANDERL34697709,rodolfomera3,Thu Feb 10 23:02:00 +0000 2022,1491910351654469634
VANDERL34697709,luisnassif,Thu Feb 10 23:02:00 +0000 2022,1491910351654469634
UNjobs_Events,cidacs_fiocruz,Thu Feb 10 23:01:45 +0000 2022,1491910287913533445
Beatrizfisiote1,agencia_fiocruz,Thu Feb 10 23:00:52 +0000 2022,1491910063337971713
Beatrizfisiote1,fiocruz,Thu Feb 10 23:00:52 +0000 2022,1491910063337971713
beattrice_,projmandacaru,Thu Feb 10 22:58:54 +0000 2022,1491909568519188480
Bot_Corona_V,BrazilSFE,Thu Feb 10 22:58:40 +0000 2022,1491909511480856579
Bot_Corona_V,merial,Thu Feb 10 22:58:40 +0000 2022,1491909511480856579
Bot_Corona_V,kineta,Thu Feb 10 22:58:40 +0000 2022,1491909511480856579
BrazilSFE,merial,Thu Feb 10 22:58:07 +0000 2022,1491909372225761287
BrazilSFE,kineta,Thu Feb 10 22:58:07 +0000 2022,1491909372225761287
Abell417,denio_vale,Thu Feb 10 22:53:46 +0000 2022,1491908279265599491
Abell417,eduardopaes,Thu Feb 10 22:53:46 +0000 2022,1491908279265599491
Abell417,ferreirinharj,Thu Feb 10 22:53:46 +0000 2022,1491908279265599491
Abell417,danielsoranz,Thu Feb 10 22:53:46 +0000 2022,1491908279265599491
Abell417,eduardopaes,Thu Feb 10 22:53:46 +0000 2022,1491908279265599491
franklinmuniz,contagemcorona1,Thu Feb 10 22:53:34 +0000 2022,1491908229944725507
Mulher_Noticia,contagemcorona1,Thu Feb 10 22:52:03 +0000 2022,1491907844635041793
DanielGaloMinas,assembleiamg,Thu Feb 10 22:48:48 +0000 2022,1491907029677621253
Fefa_Gouveia,contagemcorona1,Thu Feb 10 22:48:47 +0000 2022,1491907024719855619
Sun_Moon_13,contagemcorona1,Thu Feb 10 22:48:43 +0000 2022,1491907007489753097
WMT3n,agencia_fiocruz,Thu Feb 10 22:48:04 +0000 2022,1491906841764368396
WMT3n,fiocruz,Thu Feb 10 22:48:04 +0000 2022,1491906841764368396
MagooMito,RevistaEsmeril,Thu Feb 10 22:47:08 +0000 2022,1491906609899003904
ricardowelbert,assembleiamg,Thu Feb 10 22:47:02 +0000 2022,1491906583114268676
umbrios,gersonsalvador,Thu Feb 10 22:46:30 +0000 2022,1491906451241111558
vano_lima,agencia_fiocruz,Thu Feb 10 22:46:06 +0000 2022,1491906348476469251
vano_lima,fiocruz,Thu Feb 10 22:46:06 +0000 2022,1491906348476469251
JCadena65913654,ONUBrasil,Thu Feb 10 22:45:11 +0000 2022,1491906119073214468
IamMarianitta,contagemcorona1,Thu Feb 10 22:43:05 +0000 2022,1491905587810033667
bibliotecaippur,DiarioDoRio,Thu Feb 10 22:41:08 +0000 2022,1491905100226387971
Aluizioumberto,AfpChecamos,Thu Feb 10 22:40:50 +0000 2022,1491905023273492485
ana_llouise,agencia_fiocruz,Thu Feb 10 22:38:14 +0000 2022,1491904367288532999
ana_llouise,fiocruz,Thu Feb 10 22:38:14 +0000 2022,1491904367288532999
Paulinhoapol,mqueiroga2,Thu Feb 10 22:36:55 +0000 2022,1491904039528894467
Paulinhoapol,mqueiroga2,Thu Feb 10 22:36:50 +0000 2022,1491904017349365761
JorgeBettiol,agencia_fiocruz,Thu Feb 10 22:36:40 +0000 2022,1491903973598674946
JorgeBettiol,fiocruz,Thu Feb 10 22:36:40 +0000 2022,1491903973598674946
JnatasCezar1,AiltonBenedito,Thu Feb 10 22:29:47 +0000 2022,1491902244408725508
FeSa972,contagemcorona1,Thu Feb 10 22:29:31 +0000 2022,1491902175047561218
rivaildorc,AiltonBenedito,Thu Feb 10 22:28:13 +0000 2022,1491901847132647427
FeSa972,contagemcorona1,Thu Feb 10 22:28:02 +0000 2022,1491901802408820737
FeSa972,contagemcorona1,Thu Feb 10 22:27:01 +0000 2022,1491901547625725958
bfgbota,lip_ufrj,Thu Feb 10 22:27:01 +0000 2022,1491901546933727234
FeSa972,contagemcorona1,Thu Feb 10 22:26:47 +0000 2022,1491901489102655488
FeSa972,contagemcorona1,Thu Feb 10 22:26:19 +0000 2022,1491901369866928128
FeSa972,contagemcorona1,Thu Feb 10 22:26:16 +0000 2022,1491901355572793347
FeSa972,contagemcorona1,Thu Feb 10 22:26:00 +0000 2022,1491901292347895813
FeSa972,contagemcorona1,Thu Feb 10 22:25:40 +0000 2022,1491901205521567751
FeSa972,contagemcorona1,Thu Feb 10 22:25:08 +0000 2022,1491901071882661900
FeSa972,contagemcorona1,Thu Feb 10 22:25:03 +0000 2022,1491901051435372545
FeSa972,contagemcorona1,Thu Feb 10 22:24:41 +0000 2022,1491900958032510982
AndreMoreiraES,contagemcorona1,Thu Feb 10 22:24:36 +0000 2022,1491900939963351043
pmli1955,financeandKM,Thu Feb 10 22:23:36 +0000 2022,1491900687017467905
