username,mentioned,date,id
viralvideovlogs,flaviofachel,Mon Feb 07 23:59:51 +0000 2022,1490837742984564738
javaladezm,SSalud_mx,Mon Feb 07 23:58:44 +0000 2022,1490837463492751360
RNPBRASIL,OPASOMSBrasil,Mon Feb 07 23:58:44 +0000 2022,1490837462817591298
Bot_Corona_V,BrazilSFE,Mon Feb 07 23:58:35 +0000 2022,1490837426201317379
Bot_Corona_V,merial,Mon Feb 07 23:58:35 +0000 2022,1490837426201317379
Bot_Corona_V,kineta,Mon Feb 07 23:58:35 +0000 2022,1490837426201317379
HazRizoma,SSalud_mx,Mon Feb 07 23:58:12 +0000 2022,1490837329266675712
BrazilSFE,merial,Mon Feb 07 23:58:07 +0000 2022,1490837307905257472
BrazilSFE,kineta,Mon Feb 07 23:58:07 +0000 2022,1490837307905257472
emanuelmendoza1,SSalud_mx,Mon Feb 07 23:58:03 +0000 2022,1490837290943660032
jjassol,SSalud_mx,Mon Feb 07 23:57:02 +0000 2022,1490837035195650052
papiabrego,SSalud_mx,Mon Feb 07 23:56:30 +0000 2022,1490836900030173187
ninha46376081,jornal_cultura,Mon Feb 07 23:56:10 +0000 2022,1490836819373539328
alpha_2010,SSalud_mx,Mon Feb 07 23:55:15 +0000 2022,1490836586120245249
VICTORJ29783730,SSalud_mx,Mon Feb 07 23:54:21 +0000 2022,1490836361674330115
Mulher_Noticia,contagemcorona1,Mon Feb 07 23:54:20 +0000 2022,1490836355836178436
Kelkian,SSalud_mx,Mon Feb 07 23:52:43 +0000 2022,1490835951416799232
gabertoldo,tvsenado,Mon Feb 07 23:51:26 +0000 2022,1490835628287614981
ajrss09,contagemcorona1,Mon Feb 07 23:50:43 +0000 2022,1490835446280372226
Josrobe79980772,minsaude,Mon Feb 07 23:49:12 +0000 2022,1490835063830761473
souzafilipecos1,panchocombr,Mon Feb 07 23:48:03 +0000 2022,1490834773706952704
MarciaDVarella,Lauritaarruda,Mon Feb 07 23:40:18 +0000 2022,1490832827155623936
faconti,brasil_io,Mon Feb 07 23:33:41 +0000 2022,1490831159835648002
silvrib,contagemcorona1,Mon Feb 07 23:33:16 +0000 2022,1490831054831177730
Andricos01,flaviofachel,Mon Feb 07 23:29:00 +0000 2022,1490829980317937664
Gabriel67880419,brasil_io,Mon Feb 07 23:26:45 +0000 2022,1490829415059623938
Gabriel67880419,brasil_io,Mon Feb 07 23:26:45 +0000 2022,1490829415059623938
RAQUELD20669859,macaeprefeitura,Mon Feb 07 23:24:27 +0000 2022,1490828834899329026
AndreiaRGarcia2,CICV_br,Mon Feb 07 23:21:20 +0000 2022,1490828051030102020
FeSa972,contagemcorona1,Mon Feb 07 23:20:31 +0000 2022,1490827845253451779
FeSa972,contagemcorona1,Mon Feb 07 23:20:25 +0000 2022,1490827820813422592
FeSa972,contagemcorona1,Mon Feb 07 23:20:09 +0000 2022,1490827754740543491
brasil_io,brasil_io,Mon Feb 07 23:16:18 +0000 2022,1490826783670693893
Bot_Corona_V,BrazilSFE,Mon Feb 07 23:16:13 +0000 2022,1490826762544103436
Bot_Corona_V,Wyeth,Mon Feb 07 23:16:13 +0000 2022,1490826762544103436
Bot_Corona_V,Zoetis,Mon Feb 07 23:16:13 +0000 2022,1490826762544103436
Bot_Corona_V,merial,Mon Feb 07 23:16:13 +0000 2022,1490826762544103436
camposamd,frednavarro,Mon Feb 07 23:15:57 +0000 2022,1490826698950340608
AleksyOnat,contagemcorona1,Mon Feb 07 23:15:44 +0000 2022,1490826643056873473
camposamd,tvcultura,Mon Feb 07 23:15:14 +0000 2022,1490826516443406336
BrazilSFE,Wyeth,Mon Feb 07 23:15:11 +0000 2022,1490826506243022848
BrazilSFE,Zoetis,Mon Feb 07 23:15:11 +0000 2022,1490826506243022848
Andersonp1980,contagemcorona1,Mon Feb 07 23:13:44 +0000 2022,1490826139056721924
Helenivaldo1,WSarai,Mon Feb 07 23:13:09 +0000 2022,1490825992088268800
fabianoinac,contagemcorona1,Mon Feb 07 23:11:51 +0000 2022,1490825666920656900
Fernandapere,contagemcorona1,Mon Feb 07 23:11:06 +0000 2022,1490825476578938882
Cleuza2021,contagemcorona1,Mon Feb 07 23:09:57 +0000 2022,1490825188665143296
Bia77Antunes,projmandacaru,Mon Feb 07 23:07:08 +0000 2022,1490824479769083910
IamMarianitta,contagemcorona1,Mon Feb 07 23:06:10 +0000 2022,1490824235064905730
Bot_Corona_V,OlaMundoIndica,Mon Feb 07 23:01:12 +0000 2022,1490822984285757444
Bot_Corona_V,FernandoHortaOf,Mon Feb 07 23:01:12 +0000 2022,1490822984285757444
Bot_Corona_V,condegustavo,Mon Feb 07 23:01:12 +0000 2022,1490822984285757444
Bot_Corona_V,brasil247,Mon Feb 07 23:01:12 +0000 2022,1490822984285757444
OlaMundoIndica,FernandoHortaOf,Mon Feb 07 23:00:53 +0000 2022,1490822905764229122
OlaMundoIndica,condegustavo,Mon Feb 07 23:00:53 +0000 2022,1490822905764229122
VerdeViver,contagemcorona1,Mon Feb 07 23:00:48 +0000 2022,1490822883198726144
Zzz72427966,projmandacaru,Mon Feb 07 23:00:47 +0000 2022,1490822881819111425
betavox,contagemcorona1,Mon Feb 07 23:00:31 +0000 2022,1490822811924922369
viveracao,OPASOMSBrasil,Mon Feb 07 23:00:15 +0000 2022,1490822745877360642
Bot_Corona_V,BrazilSFE,Mon Feb 07 22:58:12 +0000 2022,1490822228556013574
Bot_Corona_V,merial,Mon Feb 07 22:58:12 +0000 2022,1490822228556013574
Bot_Corona_V,kineta,Mon Feb 07 22:58:12 +0000 2022,1490822228556013574
BrazilSFE,merial,Mon Feb 07 22:58:08 +0000 2022,1490822215520202756
BrazilSFE,kineta,Mon Feb 07 22:58:08 +0000 2022,1490822215520202756
beattrice_,projmandacaru,Mon Feb 07 22:58:05 +0000 2022,1490822200542121986
gayLulista13,contagemcorona1,Mon Feb 07 22:51:21 +0000 2022,1490820507540803588
Brunoaybal,tvcultura,Mon Feb 07 22:51:14 +0000 2022,1490820478667300869
AnaLuana_27,jornal_cultura,Mon Feb 07 22:49:53 +0000 2022,1490820135552229377
rensi_antonio,contagemcorona1,Mon Feb 07 22:49:25 +0000 2022,1490820021425168386
RioUsando,fiocruz,Mon Feb 07 22:46:40 +0000 2022,1490819329256001541
JACB2021BR,fiocruz,Mon Feb 07 22:44:50 +0000 2022,1490818865143685130
marciojmsilva,SNS_Portugal,Mon Feb 07 22:43:13 +0000 2022,1490818459801989124
gayLulista13,contagemcorona1,Mon Feb 07 22:42:11 +0000 2022,1490818198878531588
RioUsando,AfpChecamos,Mon Feb 07 22:41:38 +0000 2022,1490818061418569728
RioUsando,CDCgov,Mon Feb 07 22:41:38 +0000 2022,1490818061418569728
Hirakawinha,camarasaopaulo,Mon Feb 07 22:40:23 +0000 2022,1490817747533668352
Bot_Corona_V,jornaljogoserio,Mon Feb 07 22:34:10 +0000 2022,1490816183096037377
denio_vale,denio_vale,Mon Feb 07 22:31:26 +0000 2022,1490815495095861256
denio_vale,contagemcorona1,Mon Feb 07 22:31:26 +0000 2022,1490815495095861256
denio_vale,MiguelNicolelis,Mon Feb 07 22:31:26 +0000 2022,1490815495095861256
denio_vale,adaopaiani,Mon Feb 07 22:31:26 +0000 2022,1490815495095861256
denio_vale,nicolaskasprzak,Mon Feb 07 22:31:26 +0000 2022,1490815495095861256
denio_vale,contagemcorona1,Mon Feb 07 22:31:20 +0000 2022,1490815470953504768
denio_vale,MiguelNicolelis,Mon Feb 07 22:31:20 +0000 2022,1490815470953504768
denio_vale,adaopaiani,Mon Feb 07 22:31:20 +0000 2022,1490815470953504768
denio_vale,nicolaskasprzak,Mon Feb 07 22:31:20 +0000 2022,1490815470953504768
RosaizumiRosa,DuSupertramp,Mon Feb 07 22:31:08 +0000 2022,1490815420525391877
RosaizumiRosa,adolfo_coelho,Mon Feb 07 22:31:08 +0000 2022,1490815420525391877
RosaizumiRosa,VeinhoMetal22,Mon Feb 07 22:31:08 +0000 2022,1490815420525391877
RosaizumiRosa,valeriascher,Mon Feb 07 22:31:08 +0000 2022,1490815420525391877
lcastiglioni81,contagemcorona1,Mon Feb 07 22:30:46 +0000 2022,1490815328233967618
lcastiglioni81,g1,Mon Feb 07 22:30:46 +0000 2022,1490815328233967618
JampaRobo,Portal_T5,Mon Feb 07 22:30:23 +0000 2022,1490815228409434112
ricardoalvvesbh,Santana13110,Mon Feb 07 22:29:38 +0000 2022,1490815039841914889
ricardoalvvesbh,rubensmenin,Mon Feb 07 22:29:38 +0000 2022,1490815039841914889
TalitaFatima,contagemcorona1,Mon Feb 07 22:28:39 +0000 2022,1490814794907201541
lucia98624147,contagemcorona1,Mon Feb 07 22:28:03 +0000 2022,1490814642049925124
Veniltonleal2,governodoamapa,Mon Feb 07 22:27:21 +0000 2022,1490814468326051842
Veniltonleal2,governodoamapa,Mon Feb 07 22:26:49 +0000 2022,1490814332984307720
denio_vale,denio_vale,Mon Feb 07 22:25:56 +0000 2022,1490814110862348297
viralvideovlogs,contagemcorona1,Mon Feb 07 22:23:45 +0000 2022,1490813560515174400
gayLulista13,contagemcorona1,Mon Feb 07 22:23:44 +0000 2022,1490813556840927238
SilvanaFerrao,SBeneditoEU,Mon Feb 07 22:23:42 +0000 2022,1490813548418768897
SilvanaFerrao,FNyusi,Mon Feb 07 22:23:42 +0000 2022,1490813548418768897
SilvanaFerrao,JuttaUrpilainen,Mon Feb 07 22:23:42 +0000 2022,1490813548418768897
denio_vale,denio_vale,Mon Feb 07 22:20:55 +0000 2022,1490812847277977604
denio_vale,contagemcorona1,Mon Feb 07 22:20:55 +0000 2022,1490812847277977604
denio_vale,MiguelNicolelis,Mon Feb 07 22:20:55 +0000 2022,1490812847277977604
denio_vale,adaopaiani,Mon Feb 07 22:20:55 +0000 2022,1490812847277977604
denio_vale,nicolaskasprzak,Mon Feb 07 22:20:55 +0000 2022,1490812847277977604
RodP13,denio_vale,Mon Feb 07 22:19:12 +0000 2022,1490812415864360967
RodP13,contagemcorona1,Mon Feb 07 22:19:12 +0000 2022,1490812415864360967
RodP13,MiguelNicolelis,Mon Feb 07 22:19:12 +0000 2022,1490812415864360967
RodP13,adaopaiani,Mon Feb 07 22:19:12 +0000 2022,1490812415864360967
RodP13,nicolaskasprzak,Mon Feb 07 22:19:12 +0000 2022,1490812415864360967
denio_vale,contagemcorona1,Mon Feb 07 22:18:20 +0000 2022,1490812195751567367
denio_vale,MiguelNicolelis,Mon Feb 07 22:18:20 +0000 2022,1490812195751567367
denio_vale,adaopaiani,Mon Feb 07 22:18:20 +0000 2022,1490812195751567367
denio_vale,nicolaskasprzak,Mon Feb 07 22:18:20 +0000 2022,1490812195751567367
gayLulista13,contagemcorona1,Mon Feb 07 22:18:05 +0000 2022,1490812133449293833
claudialyaz,denio_vale,Mon Feb 07 22:11:39 +0000 2022,1490810515488129027
claudialyaz,contagemcorona1,Mon Feb 07 22:11:39 +0000 2022,1490810515488129027
claudialyaz,MiguelNicolelis,Mon Feb 07 22:11:39 +0000 2022,1490810515488129027
claudialyaz,adaopaiani,Mon Feb 07 22:11:39 +0000 2022,1490810515488129027
claudialyaz,nicolaskasprzak,Mon Feb 07 22:11:39 +0000 2022,1490810515488129027
BlogDoTato67,BlogDoTato67,Mon Feb 07 22:11:32 +0000 2022,1490810485352157186
BlogDoTato67,marisamonte,Mon Feb 07 22:11:32 +0000 2022,1490810485352157186
denio_vale,denio_vale,Mon Feb 07 22:07:36 +0000 2022,1490809496238710789
denio_vale,contagemcorona1,Mon Feb 07 22:07:36 +0000 2022,1490809496238710789
denio_vale,MiguelNicolelis,Mon Feb 07 22:07:36 +0000 2022,1490809496238710789
denio_vale,adaopaiani,Mon Feb 07 22:07:36 +0000 2022,1490809496238710789
denio_vale,nicolaskasprzak,Mon Feb 07 22:07:36 +0000 2022,1490809496238710789
denio_vale,contagemcorona1,Mon Feb 07 22:06:15 +0000 2022,1490809156126842889
denio_vale,MiguelNicolelis,Mon Feb 07 22:06:15 +0000 2022,1490809156126842889
denio_vale,adaopaiani,Mon Feb 07 22:06:15 +0000 2022,1490809156126842889
denio_vale,nicolaskasprzak,Mon Feb 07 22:06:15 +0000 2022,1490809156126842889
Bot_Corona_V,FaroldaB,Mon Feb 07 22:06:09 +0000 2022,1490809129774034957
RPG27050264,agenciabrasil,Mon Feb 07 22:03:17 +0000 2022,1490808410538926081
