username,mentioned,date,id
MariaLCAb,franceaubresil,Fri Feb 11 23:59:55 +0000 2022,1492287311920435204
Bot_Corona_V,BrazilSFE,Fri Feb 11 23:58:49 +0000 2022,1492287036681867265
Bot_Corona_V,merial,Fri Feb 11 23:58:49 +0000 2022,1492287036681867265
Bot_Corona_V,kineta,Fri Feb 11 23:58:49 +0000 2022,1492287036681867265
BrazilSFE,merial,Fri Feb 11 23:58:06 +0000 2022,1492286857719255046
BrazilSFE,kineta,Fri Feb 11 23:58:06 +0000 2022,1492286857719255046
LFragaSantAnna,franceaubresil,Fri Feb 11 23:55:24 +0000 2022,1492286176216109063
BrigitteSCollet,franceaubresil,Fri Feb 11 23:54:42 +0000 2022,1492286002517454851
Lula_Tavares,contagemcorona1,Fri Feb 11 23:54:33 +0000 2022,1492285963116105733
Mah31Santiago,fabioirodrigues,Fri Feb 11 23:53:38 +0000 2022,1492285733066977282
carloslimaalves,INFARMED_IP,Fri Feb 11 23:53:24 +0000 2022,1492285674774532098
teixeira_cica,marfcg,Fri Feb 11 23:52:53 +0000 2022,1492285541362061313
micolin,fabioirodrigues,Fri Feb 11 23:52:25 +0000 2022,1492285425095954434
ana_celiacosta,franceaubresil,Fri Feb 11 23:51:40 +0000 2022,1492285238717960196
SiSantos_,fabioirodrigues,Fri Feb 11 23:51:30 +0000 2022,1492285193687810052
glossepgurl,OPASOMSBrasil,Fri Feb 11 23:50:42 +0000 2022,1492284995402182657
glossepgurl,OPASOMSBrasil,Fri Feb 11 23:50:41 +0000 2022,1492284991052648451
eziodantas,contagemcorona1,Fri Feb 11 23:49:53 +0000 2022,1492284789398847494
sfvanderley,VANDERL34697709,Fri Feb 11 23:48:35 +0000 2022,1492284462683545601
sfvanderley,rodolfomera3,Fri Feb 11 23:48:35 +0000 2022,1492284462683545601
sfvanderley,luisnassif,Fri Feb 11 23:48:35 +0000 2022,1492284462683545601
DANTEPHDD,fabioirodrigues,Fri Feb 11 23:47:41 +0000 2022,1492284234656063488
alexcarmo72,franceaubresil,Fri Feb 11 23:47:12 +0000 2022,1492284113398685696
Mulher_Noticia,contagemcorona1,Fri Feb 11 23:41:53 +0000 2022,1492282776686575616
Mulher_Noticia,contagemcorona1,Fri Feb 11 23:41:13 +0000 2022,1492282605772980224
DAzevedo10,contagemcorona1,Fri Feb 11 23:40:49 +0000 2022,1492282508494397444
DAzevedo10,Metropoles,Fri Feb 11 23:40:49 +0000 2022,1492282508494397444
littlwchaery,OPASOMSBrasil,Fri Feb 11 23:40:10 +0000 2022,1492282343608012818
Samuel66184888,contagemcorona1,Fri Feb 11 23:40:09 +0000 2022,1492282338486726657
leovasco10,paisefilhos,Fri Feb 11 23:38:39 +0000 2022,1492281960026279937
M4ri1914,fabioirodrigues,Fri Feb 11 23:37:50 +0000 2022,1492281754362818561
vhsampaio,contagemcorona1,Fri Feb 11 23:37:04 +0000 2022,1492281563610062848
Mulher_Noticia,contagemcorona1,Fri Feb 11 23:36:49 +0000 2022,1492281499785252865
brasil_io,brasil_io,Fri Feb 11 23:35:16 +0000 2022,1492281109417189385
MariRMF,contagemcorona1,Fri Feb 11 23:34:36 +0000 2022,1492280942030987265
Marcionin,contagemcorona1,Fri Feb 11 23:34:03 +0000 2022,1492280805254737920
antoniobacellar,contagemcorona1,Fri Feb 11 23:33:07 +0000 2022,1492280568033251332
Zanon2910,contagemcorona1,Fri Feb 11 23:30:34 +0000 2022,1492279927747579904
Bertrand_allen2,marfcg,Fri Feb 11 23:24:48 +0000 2022,1492278475138510849
JTAH_1990,JTAH_1990,Fri Feb 11 23:20:05 +0000 2022,1492277287689109508
Bot_Corona_V,BrazilSFE,Fri Feb 11 23:15:47 +0000 2022,1492276207177670657
Bot_Corona_V,Wyeth,Fri Feb 11 23:15:47 +0000 2022,1492276207177670657
Bot_Corona_V,Zoetis,Fri Feb 11 23:15:47 +0000 2022,1492276207177670657
Bot_Corona_V,merial,Fri Feb 11 23:15:47 +0000 2022,1492276207177670657
BrazilSFE,Wyeth,Fri Feb 11 23:15:08 +0000 2022,1492276044975517700
BrazilSFE,Zoetis,Fri Feb 11 23:15:08 +0000 2022,1492276044975517700
MarcelaDamasc11,fabioirodrigues,Fri Feb 11 23:14:00 +0000 2022,1492275759955783682
Veniltonleal2,governodoamapa,Fri Feb 11 23:12:11 +0000 2022,1492275301782540294
Veniltonleal2,governodoamapa,Fri Feb 11 23:12:07 +0000 2022,1492275284862775300
mbnetto2,marfcg,Fri Feb 11 23:10:48 +0000 2022,1492274952719982592
claudioandre_,revistapiaui,Fri Feb 11 23:09:56 +0000 2022,1492274733353779206
Bot_Corona_V,douglas_cosfag,Fri Feb 11 23:06:46 +0000 2022,1492273938050736128
eudesimoes,marfcg,Fri Feb 11 23:06:15 +0000 2022,1492273806190292992
omartgbl34,marfcg,Fri Feb 11 23:06:04 +0000 2022,1492273759864164354
melmarkoski,marfcg,Fri Feb 11 23:05:34 +0000 2022,1492273634995589122
AngolaOnu,ONUNews,Fri Feb 11 23:02:07 +0000 2022,1492272766418046976
AngolaOnu,mvankerkhove,Fri Feb 11 23:02:07 +0000 2022,1492272766418046976
AngolaOnu,ONUNews,Fri Feb 11 23:01:54 +0000 2022,1492272711678234625
AngolaOnu,MoetiTshidi,Fri Feb 11 23:01:54 +0000 2022,1492272711678234625
cidadgm1,AiltonBenedito,Fri Feb 11 22:59:44 +0000 2022,1492272169342353409
lincolnwa,marfcg,Fri Feb 11 22:59:20 +0000 2022,1492272065495416836
isa_honeyice,Laricita3,Fri Feb 11 22:58:59 +0000 2022,1492271980883722246
AngolaOnu,ACNURAngola,Fri Feb 11 22:58:59 +0000 2022,1492271980078379015
Bot_Corona_V,BrazilSFE,Fri Feb 11 22:58:46 +0000 2022,1492271922670977030
Bot_Corona_V,merial,Fri Feb 11 22:58:46 +0000 2022,1492271922670977030
Bot_Corona_V,kineta,Fri Feb 11 22:58:46 +0000 2022,1492271922670977030
DoRetuit,LeichsenringC,Fri Feb 11 22:58:13 +0000 2022,1492271784158277632
BrazilSFE,merial,Fri Feb 11 22:58:07 +0000 2022,1492271761139847174
BrazilSFE,kineta,Fri Feb 11 22:58:07 +0000 2022,1492271761139847174
AnaLuci43578997,marfcg,Fri Feb 11 22:56:51 +0000 2022,1492271442188283906
AngolaOnu,NacoesUnidas,Fri Feb 11 22:55:42 +0000 2022,1492271152433094667
rafaelmeneses93,marfcg,Fri Feb 11 22:53:48 +0000 2022,1492270673288470540
mrm672xx,agencia_fiocruz,Fri Feb 11 22:52:06 +0000 2022,1492270248673820675
mrm672xx,fiocruz,Fri Feb 11 22:52:06 +0000 2022,1492270248673820675
MagnaniClarissa,fabioirodrigues,Fri Feb 11 22:49:03 +0000 2022,1492269477785911297
RodP13,denio_vale,Fri Feb 11 22:42:53 +0000 2022,1492267926040236032
RodP13,contagemcorona1,Fri Feb 11 22:42:53 +0000 2022,1492267926040236032
RodP13,adaopaiani,Fri Feb 11 22:42:53 +0000 2022,1492267926040236032
RodP13,nicolaskasprzak,Fri Feb 11 22:42:53 +0000 2022,1492267926040236032
RodP13,MiguelNicolelis,Fri Feb 11 22:42:53 +0000 2022,1492267926040236032
lucio_fogazzi,sbtnews,Fri Feb 11 22:41:40 +0000 2022,1492267620099309570
PateBacurauense,contagemcorona1,Fri Feb 11 22:36:27 +0000 2022,1492266309823913987
PateBacurauense,MiguelNicolelis,Fri Feb 11 22:36:27 +0000 2022,1492266309823913987
PateBacurauense,contagemcorona1,Fri Feb 11 22:35:26 +0000 2022,1492266053270970372
PateBacurauense,Metropoles,Fri Feb 11 22:35:26 +0000 2022,1492266053270970372
LciaFer95396187,fabioirodrigues,Fri Feb 11 22:34:31 +0000 2022,1492265819727880194
Bot_Corona_V,macaeprefeitura,Fri Feb 11 22:30:44 +0000 2022,1492264869332230146
Andersonp1980,fabioirodrigues,Fri Feb 11 22:29:30 +0000 2022,1492264558240673797
davillanunesl,contagemcorona1,Fri Feb 11 22:29:12 +0000 2022,1492264483883995138
aline_xD,fabioirodrigues,Fri Feb 11 22:28:44 +0000 2022,1492264368045703175
jlfleite,marfcg,Fri Feb 11 22:28:11 +0000 2022,1492264226639040514
contagemcorona1,contagemcorona1,Fri Feb 11 22:28:10 +0000 2022,1492264225271697418
denio_vale,marfcg,Fri Feb 11 22:28:07 +0000 2022,1492264212898398208
AnaCunh62077053,fabioirodrigues,Fri Feb 11 22:26:05 +0000 2022,1492263698056073217
donnabaratex,fabioirodrigues,Fri Feb 11 22:22:42 +0000 2022,1492262846490624003
_jayninhaah,beldeplantao,Fri Feb 11 22:21:48 +0000 2022,1492262621248172037
bobclaye,marfcg,Fri Feb 11 22:21:30 +0000 2022,1492262544475627525
zurenemanique,marfcg,Fri Feb 11 22:21:27 +0000 2022,1492262534073696269
cris_rodriiigue,contagemcorona1,Fri Feb 11 22:21:06 +0000 2022,1492262444567310339
wilsorodrigues,marfcg,Fri Feb 11 22:18:31 +0000 2022,1492261796018855944
ana_llouise,fabioirodrigues,Fri Feb 11 22:18:25 +0000 2022,1492261768218959880
monicabergamo,marfcg,Fri Feb 11 22:17:58 +0000 2022,1492261657778831360
JJDelga12323133,SSalud_mx,Fri Feb 11 22:17:24 +0000 2022,1492261514409132035
josianemaieski,fabioirodrigues,Fri Feb 11 22:17:21 +0000 2022,1492261501016678412
aperteoalt,contagemcorona1,Fri Feb 11 22:15:46 +0000 2022,1492261102083846152
GGsavoy,marfcg,Fri Feb 11 22:15:32 +0000 2022,1492261044277989376
tommyberesford,marfcg,Fri Feb 11 22:13:54 +0000 2022,1492260631390601217
mssilva77,contagemcorona1,Fri Feb 11 22:13:13 +0000 2022,1492260459357081600
djalepeixoto,fabioirodrigues,Fri Feb 11 22:12:52 +0000 2022,1492260374908964864
padilhajr88,saudecomciencia,Fri Feb 11 22:10:06 +0000 2022,1492259677262041089
CandiaCrf,contagemcorona1,Fri Feb 11 22:09:28 +0000 2022,1492259517362581504
FeSa972,contagemcorona1,Fri Feb 11 22:05:29 +0000 2022,1492258516236738563
FeSa972,contagemcorona1,Fri Feb 11 22:05:18 +0000 2022,1492258469491187715
FeSa972,contagemcorona1,Fri Feb 11 22:05:12 +0000 2022,1492258443985666054
FeSa972,contagemcorona1,Fri Feb 11 22:05:07 +0000 2022,1492258424276541442
FeSa972,contagemcorona1,Fri Feb 11 22:05:02 +0000 2022,1492258400645832706
FeSa972,contagemcorona1,Fri Feb 11 22:04:47 +0000 2022,1492258340684148746
FeSa972,contagemcorona1,Fri Feb 11 22:04:37 +0000 2022,1492258296073490436
FeSa972,contagemcorona1,Fri Feb 11 22:03:13 +0000 2022,1492257945891000324
FelipeDOPT,contagemcorona1,Fri Feb 11 22:02:35 +0000 2022,1492257784171307008
BlogDoTato67,BlogDoTato67,Fri Feb 11 22:02:25 +0000 2022,1492257742970621953
Mulher_Noticia,contagemcorona1,Fri Feb 11 22:02:07 +0000 2022,1492257669717139458
FeSa972,fabioirodrigues,Fri Feb 11 22:01:42 +0000 2022,1492257563097931782
Mulher_Noticia,contagemcorona1,Fri Feb 11 22:01:22 +0000 2022,1492257478142312449
Claudiaped2,agencia_fiocruz,Fri Feb 11 22:00:43 +0000 2022,1492257314962907140
Claudiaped2,fiocruz,Fri Feb 11 22:00:43 +0000 2022,1492257314962907140
Bot_Corona_V,botdocovid,Fri Feb 11 22:00:42 +0000 2022,1492257312190480388
Paulinho2pac,fabioirodrigues,Fri Feb 11 22:00:33 +0000 2022,1492257274726920192
gomes_coe,fabioirodrigues,Fri Feb 11 22:00:12 +0000 2022,1492257184541036546
jroberto6452,spbancarios,Fri Feb 11 21:58:50 +0000 2022,1492256842394836996
jroberto6452,Caixa,Fri Feb 11 21:58:50 +0000 2022,1492256842394836996
Bot_Corona_V,BrazilSFE,Fri Feb 11 21:58:42 +0000 2022,1492256808618057730
Bot_Corona_V,merial,Fri Feb 11 21:58:42 +0000 2022,1492256808618057730
Bot_Corona_V,kineta,Fri Feb 11 21:58:42 +0000 2022,1492256808618057730
