username,mentioned,date,id
Mulher_Noticia,contagemcorona1,Wed Feb 09 23:59:05 +0000 2022,1491562326239195144
Bot_Corona_V,BrazilSFE,Wed Feb 09 23:58:42 +0000 2022,1491562229854048257
Bot_Corona_V,merial,Wed Feb 09 23:58:42 +0000 2022,1491562229854048257
Bot_Corona_V,kineta,Wed Feb 09 23:58:42 +0000 2022,1491562229854048257
BrazilSFE,merial,Wed Feb 09 23:58:08 +0000 2022,1491562087931330561
BrazilSFE,kineta,Wed Feb 09 23:58:08 +0000 2022,1491562087931330561
Mulher_Noticia,contagemcorona1,Wed Feb 09 23:57:38 +0000 2022,1491561962471309312
Mulher_Noticia,contagemcorona1,Wed Feb 09 23:54:29 +0000 2022,1491561168661581825
faconti,brasil_io,Wed Feb 09 23:54:12 +0000 2022,1491561096972574732
FreitasLuizete,contagemcorona1,Wed Feb 09 23:48:48 +0000 2022,1491559738504531969
viralvideovlogs,agenciabrasil,Wed Feb 09 23:45:40 +0000 2022,1491558952689180682
viralvideovlogs,fiocruz,Wed Feb 09 23:45:40 +0000 2022,1491558952689180682
OrighInter,agenciabrasil,Wed Feb 09 23:45:35 +0000 2022,1491558928487964672
OrighInter,fiocruz,Wed Feb 09 23:45:35 +0000 2022,1491558928487964672
CandiaCrf,contagemcorona1,Wed Feb 09 23:45:06 +0000 2022,1491558807184592899
GenariSandra,contagemcorona1,Wed Feb 09 23:44:47 +0000 2022,1491558730487508995
Andersonp1980,contagemcorona1,Wed Feb 09 23:43:36 +0000 2022,1491558432838758402
RAQUELD20669859,macaeprefeitura,Wed Feb 09 23:43:34 +0000 2022,1491558421560180742
LuciaRSGomes,contagemcorona1,Wed Feb 09 23:34:44 +0000 2022,1491556198675591170
cansadabh,contagemcorona1,Wed Feb 09 23:31:08 +0000 2022,1491555294140317698
OrighInter,govbr,Wed Feb 09 23:29:49 +0000 2022,1491554962719092742
achagas407,AlencarBraga13,Wed Feb 09 23:29:40 +0000 2022,1491554926006263808
CaioCarlo,secsaudedf,Wed Feb 09 23:29:33 +0000 2022,1491554897615020032
TerraComum,contagemcorona1,Wed Feb 09 23:28:40 +0000 2022,1491554672766820353
Bot_Corona_V,secsaudedf,Wed Feb 09 23:28:39 +0000 2022,1491554670514511877
tiago_ruu,tvcultura,Wed Feb 09 23:27:13 +0000 2022,1491554306503368707
