Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering
ferreirinharj,ferreirinharj,,3,0,3,4,0,4,0,0,0,0,27,0,83,0.333333
franklinmuniz,franklinmuniz,,0,1,1,0,1,1,2,0.545455,0.583333,0,10,0,2883,0
WMT3n,WMT3n,,0,2,2,0,2,2,1,1,1,0,76,0,2884,1
MagooMito,MagooMito,,0,2,2,0,2,2,1,1,1,0,25,0,2886,0
RevistaEsmeril,RevistaEsmeril,,2,0,2,2,0,2,0,0,0,0,25,0,2885,0
ricardowelbert,ricardowelbert,,0,1,1,0,1,1,3,0.5,0.541667,0,76,0,2887,0
gersonsalvador,gersonsalvador,,112,0,112,112,0,112,0,0,0,0,213,0,65,0.00008
vano_lima,vano_lima,,0,2,2,0,2,2,1,1,1,0,76,0,2888,1
Aluizioumberto,Aluizioumberto,,0,1,1,0,1,1,2,0.6,0.666667,0,62,0,2889,0
JorgeBettiol,JorgeBettiol,,0,2,2,0,2,2,1,1,1,0,76,0,2890,1
JnatasCezar1,JnatasCezar1,,0,1,1,0,1,1,1,1,1,0,25,0,2891,0
rivaildorc,rivaildorc,,0,1,1,0,1,1,1,1,1,0,25,0,2892,0
bfgbota,bfgbota,,0,1,1,0,1,1,3,0.4,0.458333,0,0,0,2893,0
AndreMoreiraES,AndreMoreiraES,,0,1,1,0,2,2,2,0.545455,0.583333,0,10,0,2894,0
pmli1955,pmli1955,,0,1,1,0,1,1,2,0.666667,0.75,0,214,173,2897,0
financeandKM,financeandKM,,1,1,2,1,1,2,1,1,1,0,214,173,2896,0
Tiago_TioDECA,Tiago_TioDECA,,0,2,2,0,2,2,1,1,1,0,76,0,2898,1
andre_gavlak,andre_gavlak,,0,2,2,0,2,2,1,1,1,0,76,0,2899,1
JeanLec27177717,JeanLec27177717,,0,1,1,0,1,1,1,1,1,0,25,0,2900,0
ajulisbr,ajulisbr,,0,1,1,0,1,1,1,1,1,0,25,0,2901,0
GleisonFlavio21,GleisonFlavio21,,0,1,1,0,4,4,2,0.6,0.666667,0,62,0,2902,0
SimoneCAL14,SimoneCAL14,,0,2,2,0,2,2,1,1,1,0,76,0,2903,1
MarcinhaGarcao,MarcinhaGarcao,,0,1,1,0,1,1,1,1,1,0,213,0,2904,0
rodrigocoite1,rodrigocoite1,,0,1,1,0,1,1,2,0.6,0.666667,0,62,0,2905,0
madeliam1,madeliam1,,0,1,1,0,1,1,2,0.6,0.666667,0,62,0,2906,0
VANDERLEIEEDNA,VANDERLEIEEDNA,,0,1,1,0,1,1,1,1,1,0,25,0,2907,0
Malelo2711,Malelo2711,,0,2,2,0,2,2,2,0.583333,0.642857,0,213,0,2908,0
hollaquien,hollaquien,,0,2,2,0,2,2,1,1,1,0,76,0,2909,1
_marialuisa,_marialuisa,,0,1,1,0,1,1,1,1,1,0,0,0,2910,0
icon_ic,icon_ic,,0,1,1,0,1,1,1,1,1,0,215,174,2912,0
alentejo_1970,alentejo_1970,,1,0,1,1,0,1,0,0,0,0,215,174,2911,0
FerreiraCardin,FerreiraCardin,,0,1,1,0,1,1,1,1,1,0,25,0,2913,0
LuGamoradecor,LuGamoradecor,,0,1,1,0,1,1,1,1,1,0,25,0,2914,0
FerSindicalista,FerSindicalista,,0,1,1,0,1,1,1,1,1,0,88,0,2915,0
alexandredsc,alexandredsc,,0,1,1,0,1,1,1,1,1,0,0,0,2916,0
77Ammarello,77Ammarello,,0,2,2,0,2,2,1,1,1,0,4,0,2917,0.5
Lya_mferraz,Lya_mferraz,,0,1,1,0,1,1,1,1,1,0,213,0,2918,0
Jairnevesa,Jairnevesa,,0,1,1,0,1,1,1,1,1,0,216,175,2920,0
